exdate,uncnt,emgcnt
24mar1999,,
25mar1999,,
26mar1999,,
27mar1999,2800,
28mar1999,21647,
29mar1999,40053,
30mar1999,20000,
31mar1999,11100,
01apr1999,20800,
02apr1999,31251,
03apr1999,18577,
04apr1999,21808,
05apr1999,24111,
06apr1999,23418,
07apr1999,2877,
08apr1999,16,
09apr1999,1459,
10apr1999,4265,
11apr1999,38,
12apr1999,104,
13apr1999,3309,3249
14apr1999,3600,2492
15apr1999,3254,3423
16apr1999,10700,14111
17apr1999,23215,21000
18apr1999,5829,5000
19apr1999,105,8000
20apr1999,15,6900
21apr1999,133,4516
22apr1999,924,
23apr1999,192,800
24apr1999,92,192
25apr1999,13,10
26apr1999,459,
27apr1999,1791,580
28apr1999,2602,586
29apr1999,,2900
30apr1999,,13000
01may1999,,
02may1999,,3143
03may1999,,1887
04may1999,,6585
05may1999,,1489
06may1999,,70
07may1999,,569
08may1999,,10000
09may1999,,8377
10may1999,,3762
11may1999,,267
12may1999,,3811
13may1999,,11
14may1999,,15
15may1999,,21
16may1999,,0
17may1999,,19
18may1999,,1
19may1999,,13
20may1999,,8
21may1999,,3700
22may1999,,671
23may1999,,1500
24may1999,,900
25may1999,,220
26may1999,,1049
27may1999,,1000
28may1999,,580
29may1999,,
