bord_id,pcode,exdate,numpers
32467,-1000,28Mar99,32
32472,-1000,28Mar99,19
32471,-1000,28Mar99,6
32464,-1000,28Mar99,12
32596,-1000,28Mar99,6
32473,-1000,28Mar99,85
32468,-1000,28Mar99,10
32466,-1000,28Mar99,17
32598,-1000,28Mar99,5
32462,-1000,28Mar99,23
32474,-1000,28Mar99,15
32469,-1000,28Mar99,13
32604,-1000,28Mar99,17
32488,-1000,28Mar99,35
32601,-1000,28Mar99,6
32463,-1000,28Mar99,20
32603,-1000,28Mar99,20
32599,-1000,28Mar99,5
32607,-1000,28Mar99,3
32605,-1000,28Mar99,24
32602,-1000,28Mar99,6
32475,-1000,28Mar99,32
32609,-1000,28Mar99,4
32608,-1000,28Mar99,15
32597,-1000,28Mar99,10
32465,-1000,28Mar99,10
32606,-1000,28Mar99,50
32615,-1000,28Mar99,7
32470,-1000,28Mar99,20
32600,-1000,28Mar99,6
32548,-1000,28Mar99,8
32280,2019,28Mar99,48
32283,2019,28Mar99,32
32286,2019,28Mar99,80
32285,2019,28Mar99,42
32282,2019,28Mar99,41
32287,2019,28Mar99,18
32284,2019,28Mar99,40
32281,2019,28Mar99,21
32624,2022,28Mar99,8
32610,2022,28Mar99,7
32617,2022,28Mar99,12
32309,2022,28Mar99,8
32634,2022,28Mar99,27
32632,2022,28Mar99,24
32630,2022,28Mar99,24
32627,2022,28Mar99,42
32633,2022,28Mar99,17
70052,2022,28Mar99,8
32623,2022,28Mar99,8
32619,2022,28Mar99,9
32625,2022,28Mar99,27
32622,2022,28Mar99,7
32618,2022,28Mar99,7
32620,2022,28Mar99,7
32628,2022,28Mar99,9
32626,4085,28Mar99,9
32341,4085,28Mar99,6
70036,4085,28Mar99,8
70035,4085,28Mar99,13
32629,4085,28Mar99,7
32508,6045,28Mar99,4
32510,6045,28Mar99,17
32509,6045,28Mar99,15
32507,6045,28Mar99,10
32496,6048,28Mar99,6
32506,6048,28Mar99,10
32501,6048,28Mar99,3
32499,6048,28Mar99,22
32498,6048,28Mar99,12
32504,6048,28Mar99,30
32503,6048,28Mar99,15
32502,6048,28Mar99,7
32500,6048,28Mar99,10
32505,6048,28Mar99,7
32497,6048,28Mar99,25
32304,10064,28Mar99,27
32305,16040,28Mar99,10
32553,17077,28Mar99,4
32429,17077,28Mar99,22
32547,17077,28Mar99,6
32540,17077,28Mar99,8
32266,17077,28Mar99,5
70073,17077,28Mar99,35
32485,17077,28Mar99,23
32269,17077,28Mar99,8
70058,17077,28Mar99,12
32541,17077,28Mar99,11
70071,17077,28Mar99,7
32551,17077,28Mar99,707
32495,17077,28Mar99,7
32586,17077,28Mar99,7
32558,17077,28Mar99,8
32552,17077,28Mar99,7
32487,17077,28Mar99,3
32404,17077,28Mar99,8
70056,17077,28Mar99,5
32412,17077,28Mar99,22
70087,17077,28Mar99,4
32419,17077,28Mar99,20
32566,17077,28Mar99,7
32484,17077,28Mar99,18
32389,17077,28Mar99,36
32402,17077,28Mar99,9
32425,17077,28Mar99,60
32572,17077,28Mar99,8
32557,17077,28Mar99,5
32392,17077,28Mar99,12
32276,17077,28Mar99,22
32410,17077,28Mar99,45
32490,17077,28Mar99,7
32427,17077,28Mar99,27
32568,17077,28Mar99,8
32277,17077,28Mar99,8
32476,17077,28Mar99,24
70054,17077,28Mar99,7
32408,17077,28Mar99,23
32539,17077,28Mar99,7
70085,17077,28Mar99,6
32407,17077,28Mar99,5
32582,17077,28Mar99,7
32555,17077,28Mar99,10
32417,17077,28Mar99,8
32275,17077,28Mar99,7
70072,17077,28Mar99,18
32575,17077,28Mar99,8
32580,17077,28Mar99,7
32573,17077,28Mar99,7
32393,17077,28Mar99,6
70060,17077,28Mar99,32
32418,17077,28Mar99,6
32436,17077,28Mar99,29
32273,17077,28Mar99,8
32477,17077,28Mar99,30
32579,17077,28Mar99,9
32434,17077,28Mar99,45
32424,17077,28Mar99,42
70059,17077,28Mar99,5
32420,17077,28Mar99,9
32567,17077,28Mar99,6
32400,17077,28Mar99,17
32391,17077,28Mar99,7
32406,17077,28Mar99,54
70064,17077,28Mar99,28
32491,17077,28Mar99,15
32421,17077,28Mar99,16
32483,17077,28Mar99,16
32480,17077,28Mar99,3
32492,17077,28Mar99,5
32478,17077,28Mar99,13
32431,17077,28Mar99,25
32426,17077,28Mar99,30
70068,17077,28Mar99,48
32415,17077,28Mar99,7
32493,17077,28Mar99,6
32388,17077,28Mar99,16
32394,17077,28Mar99,12
32577,17077,28Mar99,6
32395,17077,28Mar99,15
70066,17077,28Mar99,40
32563,17077,28Mar99,7
70053,17077,28Mar99,7
