dtk2,gcode,nsum,lvcnt,bomb,bomblag,klaB,klaBlag,klaK,klaKlag
20Mar99,"north",7.199451,476,0,,0,,1,
22Mar99,"north",9.424736,934,0,0,0,0,1,1
24Mar99,"north",181.0425,1508,0,0,4,0,2,1
26Mar99,"north",362.4704,1929,0,0,1,4,7,2
28Mar99,"north",345.1751,3254,1,0,1,1,1,7
30Mar99,"north",150.8545,2406,1,1,1,1,3,1
01Apr99,"north",496.0882,2749,1,1,1,1,6,3
03Apr99,"north",440.5561,1906,0,1,0,1,0,6
05Apr99,"north",260.0224,1780,0,0,0,0,0,0
07Apr99,"north",85.73475,1613,0,0,0,0,0,0
09Apr99,"north",116.9815,1954,0,0,0,0,3,0
11Apr99,"north",50.28372,1909,2,0,0,0,0,3
13Apr99,"north",65.56094,3684,0,2,0,0,1,0
15Apr99,"north",198.1455,7958,2,0,0,0,3,1
17Apr99,"north",378.2935,7042,0,2,1,0,3,3
19Apr99,"north",28.71605,2790,0,0,0,1,3,3
21Apr99,"north",23.47961,1240,1,0,0,0,3,3
23Apr99,"north",16.80434,216,0,1,0,0,0,3
25Apr99,"north",13.08314,215,1,0,0,0,0,0
27Apr99,"north",42.76845,278,4,1,0,0,2,0
29Apr99,"north",5.215072,818,3,4,0,0,1,2
01May99,"north",151.9749,618,1,3,2,0,3,1
03May99,"north",154.3451,1584,3,1,0,2,4,3
05May99,"north",10.36317,241,0,3,0,0,0,4
07May99,"north",49.79446,578,1,0,0,0,0,0
09May99,"north",12.5515,1669,5,1,0,0,0,0
11May99,"north",4.321007,117,7,5,0,0,4,0
13May99,"north",16.22669,26,2,7,0,0,0,4
15May99,"north",33.7016,18,1,2,0,0,6,0
17May99,"north",151.4075,45,1,1,0,0,1,6
19May99,"north",2.328496,49,1,1,0,0,0,1
21May99,"north",5.025851,677,4,1,0,0,0,0
23May99,"north",5.645652,720,1,4,0,0,2,0
25May99,"north",20.58633,182,3,1,1,0,1,2
27May99,"north",.2352724,219,3,3,0,1,5,1
29May99,"north",.1764543,0,7,3,0,0,1,5
31May99,"north",2,0,5,7,1,0,4,1
02Jun99,"north",0,0,0,5,0,1,1,4
04Jun99,"north",0,0,3,0,0,0,0,1
06Jun99,"north",0,0,4,3,0,0,0,0
08Jun99,"north",5,0,2,4,0,0,1,0
10Jun99,"north",0,0,0,2,0,0,1,1
12Jun99,"north",0,0,0,0,0,0,0,1
14Jun99,"north",20.0597,0,0,0,0,0,0,0
16Jun99,"north",1.273631,0,0,0,0,0,1,0
18Jun99,"north",0,0,0,0,0,0,3,1
20Jun99,"north",0,0,0,0,0,0,6,3
22Jun99,"north",0,0,0,0,0,0,3,6
20Mar99,"east",7.606873,509,0,,1,,8,
22Mar99,"east",9.958088,684,0,0,0,1,1,8
24Mar99,"east",191.2878,1314,1,0,1,0,0,1
26Mar99,"east",139.612,1843,0,1,1,1,1,0
28Mar99,"east",132.9504,4013,2,0,.5,1,1,1
30Mar99,"east",58.10432,2855,6,2,0,.5,1,1
01Apr99,"east",123.9931,3188,1,6,2,0,0,1
03Apr99,"east",110.1133,1667,0,1,0,2,0,0
05Apr99,"east",64.9904,1651,1,0,0,0,0,0
07Apr99,"east",41.89624,1276,1,1,0,0,1,0
09Apr99,"east",57.16568,2303,0,1,0,0,0,1
11Apr99,"east",24.57228,1310,5,0,0,0,0,0
13Apr99,"east",34.82286,2200,2,5,1,0,0,0
15Apr99,"east",105.2455,2329,5,2,0,1,3,0
17Apr99,"east",200.9316,5042,4,5,0,0,6,3
19Apr99,"east",105.0147,1119,2,4,0,0,1,6
21Apr99,"east",85.86503,68,1,2,0,0,0,1
23Apr99,"east",61.45355,137,2,1,0,0,0,0
25Apr99,"east",14.39741,32,2,2,0,0,0,0
27Apr99,"east",47.06477,130,3,2,0,0,3,0
29Apr99,"east",5.738953,150,1,3,0,0,0,3
01May99,"east",45.87801,111,1,1,0,0,1,0
03May99,"east",46.59356,21,2,1,0,0,0,1
05May99,"east",3.128424,126,3,2,0,0,0,0
07May99,"east",27.88531,37,4,3,0,0,0,0
09May99,"east",7.028942,20,8,4,0,0,0,0
11May99,"east",2.4198,710,6,8,0,0,0,0
13May99,"east",1.6119,6,6,6,0,0,0,0
15May99,"east",3.347792,3,2,6,0,0,0,0
17May99,"east",15.04027,6,2,2,0,0,1,0
19May99,"east",7.358198,6,3,2,0,0,0,1
21May99,"east",15.88201,9,8,3,1,0,0,0
23May99,"east",17.84062,122,7,8,0,1,0,0
25May99,"east",6.20915,152,8,7,0,0,0,0
27May99,"east",.0709617,0,8,8,0,0,1,0
